Size,DataType,Algorithm,Time_Seconds
10,Random,Bubble,0.000000900
10,Random,Insertion,0.000000400
10,Random,Selection,0.000000600
10,Random,Merge,0.000008000
10,Random,Quick,0.000000700
10,Random,Heap,0.000000800
10,Random,Counting,0.000000500
10,Random,Radix,0.000000500
10,Sorted,Bubble,0.000000100
10,Sorted,Insertion,0.000000500
10,Sorted,Selection,0.000000600
10,Sorted,Merge,0.000001500
10,Sorted,Quick,0.000000300
10,Sorted,Heap,0.000000600
10,Sorted,Counting,0.000000900
10,Sorted,Radix,0.000000500
10,Reverse,Bubble,0.000000800
10,Reverse,Insertion,0.000000700
10,Reverse,Selection,0.000000700
10,Reverse,Merge,0.000002000
10,Reverse,Quick,0.000000600
10,Reverse,Heap,0.000000100
10,Reverse,Counting,0.000000500
10,Reverse,Radix,0.000000900
10,Few_Unique,Bubble,0.000000800
10,Few_Unique,Insertion,0.000000500
10,Few_Unique,Selection,0.000000700
10,Few_Unique,Merge,0.000001600
10,Few_Unique,Quick,0.000000700
10,Few_Unique,Heap,0.000000700
10,Few_Unique,Counting,0.000000300
10,Few_Unique,Radix,0.000000600
10,Nearly_Sorted,Bubble,0.000000200
10,Nearly_Sorted,Insertion,0.000000600
10,Nearly_Sorted,Selection,0.000000500
10,Nearly_Sorted,Merge,0.000001600
10,Nearly_Sorted,Quick,0.000000500
10,Nearly_Sorted,Heap,0.000000500
10,Nearly_Sorted,Counting,0.000000300
10,Nearly_Sorted,Radix,0.000000400
20,Random,Bubble,0.000002100
20,Random,Insertion,0.000001200
20,Random,Selection,0.000002000
20,Random,Merge,0.000003800
20,Random,Quick,0.000001500
20,Random,Heap,0.000001900
20,Random,Counting,0.000000800
20,Random,Radix,0.000001400
20,Sorted,Bubble,0.000000300
20,Sorted,Insertion,0.000001000
20,Sorted,Selection,0.000001700
20,Sorted,Merge,0.000003500
20,Sorted,Quick,0.000000200
20,Sorted,Heap,0.000001700
20,Sorted,Counting,0.000001200
20,Sorted,Radix,0.000001900
20,Reverse,Bubble,0.000002500
20,Reverse,Insertion,0.000001800
20,Reverse,Selection,0.000002000
20,Reverse,Merge,0.000003400
20,Reverse,Quick,0.000001200
20,Reverse,Heap,0.000001500
20,Reverse,Counting,0.000000700
20,Reverse,Radix,0.000001400
20,Few_Unique,Bubble,0.000002200
20,Few_Unique,Insertion,0.000001400
20,Few_Unique,Selection,0.000001400
20,Few_Unique,Merge,0.000003800
20,Few_Unique,Quick,0.000001400
20,Few_Unique,Heap,0.000001800
20,Few_Unique,Counting,0.000000700
20,Few_Unique,Radix,0.000000100
20,Nearly_Sorted,Bubble,0.000001000
20,Nearly_Sorted,Insertion,0.000001200
20,Nearly_Sorted,Selection,0.000001700
20,Nearly_Sorted,Merge,0.000003500
20,Nearly_Sorted,Quick,0.000001000
20,Nearly_Sorted,Heap,0.000001900
20,Nearly_Sorted,Counting,0.000000500
20,Nearly_Sorted,Radix,0.000001400
100,Random,Bubble,0.000039300
100,Random,Insertion,0.000015700
100,Random,Selection,0.000022800
100,Random,Merge,0.000024400
100,Random,Quick,0.000010300
100,Random,Heap,0.000014700
100,Random,Counting,0.000002700
100,Random,Radix,0.000007100
100,Sorted,Bubble,0.000000600
100,Sorted,Insertion,0.000005400
100,Sorted,Selection,0.000020400
100,Sorted,Merge,0.000019500
100,Sorted,Quick,0.000006000
100,Sorted,Heap,0.000013600
100,Sorted,Counting,0.000002300
